ticker,company,cik,year,accession,status,path
WYNN,Wynn Resorts,0001174922,2026,0001174922-26-000013,success,../data/item1a/0001174922_2026.txt
WYNN,Wynn Resorts,0001174922,2025,0001174922-25-000039,success,../data/item1a/0001174922_2025.txt
WYNN,Wynn Resorts,0001174922,2024,0001174922-24-000046,success,../data/item1a/0001174922_2024.txt
WYNN,Wynn Resorts,0001174922,2023,0001174922-23-000048,success,../data/item1a/0001174922_2023.txt
WYNN,Wynn Resorts,0001174922,2022,0001174922-22-000031,success,../data/item1a/0001174922_2022.txt
WYNN,Wynn Resorts,0001174922,2021,0001174922-21-000029,success,../data/item1a/0001174922_2021.txt
WYNN,Wynn Resorts,0001174922,2020,0001174922-20-000024,success,../data/item1a/0001174922_2020.txt
WYNN,Wynn Resorts,0001174922,2019,0001174922-19-000021,success,../data/item1a/0001174922_2019.txt
WYNN,Wynn Resorts,0001174922,2018,0001174922-18-000019,success,../data/item1a/0001174922_2018.txt
WYNN,Wynn Resorts,0001174922,2017,0001174922-17-000027,success,../data/item1a/0001174922_2017.txt
WYNN,Wynn Resorts,0001174922,2016,0001174922-16-000144,success,../data/item1a/0001174922_2016.txt
WYNN,Wynn Resorts,0001174922,2015,0001174922-15-000021,success,../data/item1a/0001174922_2015.txt
WYNN,Wynn Resorts,0001174922,2014,0001193125-14-077632,item1a_not_found,
WYNN,Wynn Resorts,0001174922,2013,0001193125-13-087674,item1a_not_found,
LULU,Lululemon Athletica,0001397187,2026,0001397187-26-000020,success,../data/item1a/0001397187_2026.txt
LULU,Lululemon Athletica,0001397187,2025,0001397187-25-000013,success,../data/item1a/0001397187_2025.txt
LULU,Lululemon Athletica,0001397187,2024,0001397187-24-000010,success,../data/item1a/0001397187_2024.txt
LULU,Lululemon Athletica,0001397187,2023,0001397187-23-000012,success,../data/item1a/0001397187_2023.txt
LULU,Lululemon Athletica,0001397187,2022,0001397187-22-000014,success,../data/item1a/0001397187_2022.txt
LULU,Lululemon Athletica,0001397187,2021,0001397187-21-000009,success,../data/item1a/0001397187_2021.txt
LULU,Lululemon Athletica,0001397187,2020,0001397187-20-000012,success,../data/item1a/0001397187_2020.txt
LULU,Lululemon Athletica,0001397187,2019,0001397187-19-000011,success,../data/item1a/0001397187_2019.txt
LULU,Lululemon Athletica,0001397187,2018,0001397187-18-000013,success,../data/item1a/0001397187_2018.txt
LULU,Lululemon Athletica,0001397187,2017,0001397187-17-000008,success,../data/item1a/0001397187_2017.txt
LULU,Lululemon Athletica,0001397187,2016,0001397187-16-000089,success,../data/item1a/0001397187_2016.txt
LULU,Lululemon Athletica,0001397187,2015,0001397187-15-000016,success,../data/item1a/0001397187_2015.txt
